,物件名,エリア,最寄り駅,築年数,階数,URL
164,本輪西アパート,室蘭市本輪西町１丁目,室蘭本線 本輪西駅/徒歩9分,55,2階建,https://www.chintaistyle.jp/result/detail_201018771142.html?jis=01205
165,ＧＲＥＥＮ　ＬＥＡＶＥＳ　ＳＡＩＷＡＩⅡ,室蘭市幸町,ＪＲ室蘭本線 室蘭 徒歩10分,築）,3階建,https://www.chintaistyle.jp/result/detail_201018898591.html?jis=01205
166,大昭寿ハイツ,室蘭市寿町２丁目,室蘭本線 東室蘭駅/徒歩11分,16,2階建,https://www.chintaistyle.jp/result/detail_201019061044.html?jis=01205
167,スカイハイツ,室蘭市高砂町１丁目,室蘭本線 鷲別駅/徒歩10分,30,2階建,https://www.chintaistyle.jp/result/detail_201018920872.html?jis=01205
168,ＲＯＳＥ　ＨＩＬＬ,室蘭市高砂町５丁目,バス 工業大学前 徒歩2分,12,3階建,https://www.chintaistyle.jp/result/detail_201018988682.html?jis=01205
169,パシオン恵,室蘭市本輪西町３丁目,室蘭本線 本輪西駅/徒歩9分,11,2階建,https://www.chintaistyle.jp/result/detail_201018751749.html?jis=01205
170,ハトヤ第１５ビル,室蘭市東町４丁目,室蘭本線 東室蘭駅/徒歩13分,42,9階建,https://www.chintaistyle.jp/result/detail_201018677209.html?jis=01205
171,ウエストハイツ,室蘭市日の出町２丁目,室蘭本線 鷲別駅/徒歩11分,24,2階建,https://www.chintaistyle.jp/result/detail_201017430854.html?jis=01205
172,室蘭市白鳥台４丁目 2階建 築47年,室蘭市白鳥台４丁目,--,47,2階建,https://www.chintaistyle.jp/result/detail_201018771408.html?jis=01205
173,ＧＲＥＥＮ　ＬＥＡＶＥＳ　ＳＡＩＷＡＩⅡ,室蘭市幸町,ＪＲ室蘭本線 室蘭 徒歩10分,築）,3階建,https://www.chintaistyle.jp/result/detail_201018898591.html?jis=01205
174,ラフィーネ東町,室蘭市東町２丁目,室蘭本線 東室蘭駅/徒歩4分,14,2階建,https://www.chintaistyle.jp/result/detail_201018920904.html?jis=01205
175,ラフィーネ知利別,室蘭市知利別町２丁目,室蘭本線 東室蘭駅/徒歩19分,15,2階建,https://www.chintaistyle.jp/result/detail_201018874310.html?jis=01205
176,ミナトマンション,室蘭市日の出町２丁目,--,30,3階建,https://www.chintaistyle.jp/result/detail_201018730967.html?jis=01205
177,第５羽立コーポ,室蘭市築地町,バス 小橋内町１丁目 徒歩1分,45,3階建,https://www.chintaistyle.jp/result/detail_201018771059.html?jis=01205
178,アプリ中島Ⅰ,室蘭市中島町１丁目,室蘭本線 東室蘭駅/徒歩18分,12,2階建,https://www.chintaistyle.jp/result/detail_201018920498.html?jis=01205
179,ラフィーネ東町５,室蘭市東町２丁目,室蘭本線 東室蘭駅/徒歩4分,6,3階建,https://www.chintaistyle.jp/result/detail_201019044620.html?jis=01205
180,ラビットハイム,室蘭市高砂町１丁目,バス 緑ヶ丘 徒歩4分,20,2階建,https://www.chintaistyle.jp/result/detail_201018770998.html?jis=01205
181,ミナトマンション,室蘭市日の出町２丁目,--,30,3階建,https://www.chintaistyle.jp/result/detail_201018730967.html?jis=01205
182,ＭＡＧＬＩＯＮＥ,室蘭市寿町１丁目,室蘭本線 東室蘭駅/徒歩6分,18,2階建,https://www.chintaistyle.jp/result/detail_201019044617.html?jis=01205
183,ソレアードピエテ,室蘭市天神町,バス 変電所前 徒歩3分,42,3階建,https://www.chintaistyle.jp/result/detail_201018921156.html?jis=01205
184,ハイツメモリーＢ,室蘭市水元町,バス 工大研修所前 徒歩1分,34,2階建,https://www.chintaistyle.jp/result/detail_201018920945.html?jis=01205
185,ハウスＹＯＵ６６,室蘭市水元町,バス 工大研修所 徒歩3分,35,2階建,https://www.chintaistyle.jp/result/detail_201018883164.html?jis=01205
186,ハイツＺ,室蘭市高砂町５丁目,バス 工業大学前 徒歩2分,32,2階建,https://www.chintaistyle.jp/result/detail_201018677201.html?jis=01205
187,フローラルハイムＡ,室蘭市天神町,ＪＲ室蘭本線 鷲別 徒歩21分,34,2階建,https://www.chintaistyle.jp/result/detail_201019002129.html?jis=01205
188,クリスタルハイツ,室蘭市水元町,室蘭本線 鷲別駅/徒歩37分,35,2階建,https://www.chintaistyle.jp/result/detail_201018920979.html?jis=01205
189,フローラルハイムＡ,室蘭市天神町,ＪＲ室蘭本線 鷲別 徒歩21分,34,2階建,https://www.chintaistyle.jp/result/detail_201019002129.html?jis=01205
190,ハイツカレッヂＢ,室蘭市水元町,バス 工大研修所前 徒歩5分,37,2階建,https://www.chintaistyle.jp/result/detail_201018920555.html?jis=01205
191,カレッジマンション大志,室蘭市高砂町５丁目,バス 高砂町５丁目 徒歩4分,36,2階建,https://www.chintaistyle.jp/result/detail_201017430302.html?jis=01205
192,宮前マンション,室蘭市母恋南町２丁目,室蘭本線 母恋駅/徒歩12分,51,2階建,https://www.chintaistyle.jp/result/detail_201018771087.html?jis=01205
193,コーポ大友Ⅱ,室蘭市東町５丁目,室蘭本線 輪西駅/徒歩16分,28,2階建,https://www.chintaistyle.jp/result/detail_201018920908.html?jis=01205
194,クリスタルハイツ１,室蘭市高砂町５丁目,バス 高砂５丁目 徒歩1分,28,2階建,https://www.chintaistyle.jp/result/detail_201019038326.html?jis=01205
195,コロン,室蘭市水元町,バス 工大研修所前 徒歩3分,32,2階建,https://www.chintaistyle.jp/result/detail_201018920580.html?jis=01205
196,孝武マンション,室蘭市高砂町２丁目,バス 高砂２丁目 徒歩2分,42,2階建,https://www.chintaistyle.jp/result/detail_201018771010.html?jis=01205
197,クレストコート母恋,室蘭市母恋北町１丁目,室蘭本線 母恋駅/徒歩5分,25,3階建,https://www.chintaistyle.jp/result/detail_201018920780.html?jis=01205
198,川辺ハイツ,室蘭市高砂町３丁目,ＪＲ室蘭本線 鷲別 徒歩15分,28,2階建,https://www.chintaistyle.jp/result/detail_201018642948.html?jis=01205
199,ハッピーハイツⅡ,室蘭市寿町２丁目,室蘭本線 東室蘭駅/徒歩12分,29,2階建,https://www.chintaistyle.jp/result/detail_201018920449.html?jis=01205
200,御崎ハイツ,室蘭市御崎町２丁目,バス 御崎 徒歩3分,39,3階建,https://www.chintaistyle.jp/result/detail_201018771345.html?jis=01205
201,ハイツＭＯＴＯ,室蘭市幸町,室蘭本線 室蘭駅/徒歩9分,31,3階建,https://www.chintaistyle.jp/result/detail_201018920858.html?jis=01205
202,Ｌ・オレンジコート,室蘭市水元町,バス 工大研究所前 徒歩1分,18,2階建,https://www.chintaistyle.jp/result/detail_201018771106.html?jis=01205
203,川辺ハイツ,室蘭市高砂町３丁目,ＪＲ室蘭本線 鷲別 徒歩15分,28,2階建,https://www.chintaistyle.jp/result/detail_201018642948.html?jis=01205
204,メゾンシエナⅠ,室蘭市東町２丁目,室蘭本線 東室蘭駅/徒歩6分,26,2階建,https://www.chintaistyle.jp/result/detail_201018995301.html?jis=01205
205,プチメゾンミントハウス,室蘭市輪西町１丁目,室蘭本線 輪西駅/徒歩4分,26,2階建,https://www.chintaistyle.jp/result/detail_201018958364.html?jis=01205
206,ハイツ中村,室蘭市高砂町４丁目,室蘭本線 鷲別駅/徒歩19分,49,2階建,https://www.chintaistyle.jp/result/detail_201018920486.html?jis=01205
207,プラザユーホーム,室蘭市母恋北町１丁目,室蘭本線 母恋駅/徒歩4分,31,5階建,https://www.chintaistyle.jp/result/detail_201018921179.html?jis=01205
208,マイタイム,室蘭市寿町２丁目,室蘭本線 東室蘭駅/徒歩12分,34,2階建,https://www.chintaistyle.jp/result/detail_201018920851.html?jis=01205
209,住吉アパート,室蘭市母恋北町１丁目,ＪＲ室蘭本線 母恋 徒歩3分,41,3階建,https://www.chintaistyle.jp/result/detail_201011803178.html?jis=01205
210,コーポハピネス,室蘭市中島町２丁目,室蘭本線 東室蘭駅/徒歩8分,29,2階建,https://www.chintaistyle.jp/result/detail_201018820488.html?jis=01205
211,住吉アパート,室蘭市母恋北町１丁目,ＪＲ室蘭本線 母恋 徒歩3分,41,3階建,https://www.chintaistyle.jp/result/detail_201011803178.html?jis=01205
212,末広荘,室蘭市高砂町１丁目,室蘭本線 鷲別駅/徒歩7分,41,2階建,https://www.chintaistyle.jp/result/detail_201018771006.html?jis=01205
213,ビレッジアートむろらん,室蘭市東町３丁目,室蘭本線 東室蘭駅/徒歩10分,33,5階建,https://www.chintaistyle.jp/result/detail_201018739890.html?jis=01205
214,コーポ・ベスト,室蘭市日の出町２丁目,室蘭本線 鷲別駅/徒歩16分,46,4階建,https://www.chintaistyle.jp/result/detail_201018921177.html?jis=01205
215,Ａ２,室蘭市中島町３丁目,室蘭本線 東室蘭駅/徒歩5分,31,2階建,https://www.chintaistyle.jp/result/detail_201018771065.html?jis=01205
216,室蘭市宮の森町３丁目 1階建 築59年,室蘭市宮の森町３丁目,室蘭本線 東室蘭駅/徒歩16分,59,1階建,https://www.chintaistyle.jp/result/detail_201018771412.html?jis=01205
217,日の出アパート,室蘭市日の出町１丁目,バス 寿町２丁目 徒歩5分,48,2階建,https://www.chintaistyle.jp/result/detail_201018677204.html?jis=01205
218,北町ハイツＩ,室蘭市母恋北町１丁目,バス 母恋 徒歩2分,27,2階建,https://www.chintaistyle.jp/result/detail_201018771510.html?jis=01205
219,レオーネ・コリーナ,室蘭市水元町,バス 水元団地中央 徒歩1分,7,2階建,https://www.chintaistyle.jp/result/detail_201018771097.html?jis=01205
